,Year,NA_Sales,Name,ESRB_Rating,Genre,sales_pct
92,1996,0.04,Space Hulk: Vengeance of the Blood Angels,T,Shooter,0.09400705052878966
93,1996,0.04,Spot Goes to Hollywood,E,Platform,0.09400705052878966
94,1996,0.04,Star Fighter,E,Shooter,0.09400705052878966
95,1996,0.04,Strike Point,E,Simulation,0.09400705052878966
96,1996,0.04,Striker 96,E,Sports,0.09400705052878966
97,1996,0.04,Tecmo's Deception,T,Role-Playing,0.09400705052878966
98,1996,0.04,Tempest 3X,E,Shooter,0.09400705052878966
99,1996,0.04,The Final Round,E,Sports,0.09400705052878966
100,1996,0.05,Blades of Blood: Samurai Shodown III,T,Fighting,0.1175088131609871
101,1996,0.05,Blast Chamber,T,Shooter,0.1175088131609871
102,1996,0.05,Bogey: Dead 6,E,Simulation,0.1175088131609871
103,1996,0.05,Cyberia,T,Adventure,0.1175088131609871
104,1996,0.05,Iron Man / X-O Manowar in Heavy Metal,T,Platform,0.1175088131609871
105,1996,0.05,Jumping Flash! 2,E,Platform,0.1175088131609871
106,1996,0.05,Return Fire,E,Strategy,0.1175088131609871
107,1996,0.05,Robotron X,T,Shooter,0.1175088131609871
108,1996,0.05,Romance of the Three Kingdoms IV: Wall of Fire,E,Strategy,0.1175088131609871
109,1996,0.05,Tunnel B1,E,Shooter,0.1175088131609871
110,1996,0.06,NHL Powerplay '96,E,Sports,0.1410105757931845
111,1996,0.06,Olympic Summer Games: Atlanta 1996,E,Sports,0.1410105757931845
112,1996,0.06,Revolution X,M,Shooter,0.1410105757931845
113,1996,0.06,Tecmo Super Bowl,E,Sports,0.1410105757931845
114,1996,0.06,Tokyo Highway Battle,E,Racing,0.1410105757931845
115,1996,0.07,Black Dawn,T,Simulation,0.16451233842538193
116,1996,0.07,Burning Road,E,Racing,0.16451233842538193
117,1996,0.07,Criticom,T,Fighting,0.16451233842538193
118,1996,0.07,Disruptor,T,Shooter,0.16451233842538193
119,1996,0.07,HardBall 5,E,Sports,0.16451233842538193
120,1996,0.07,Star Gladiator Episode: I Final Crusade,T,Fighting,0.16451233842538193
121,1996,0.08,Blazing Dragons,E,Adventure,0.18801410105757926
122,1996,0.08,Bottom of the 9th,E,Sports,0.18801410105757926
123,1996,0.08,Frank Thomas Big Hurt Baseball,E,Sports,0.18801410105757926
124,1996,0.08,International Track & Field,E,Sports,0.18801410105757926
125,1996,0.08,Iron & Blood,T,Fighting,0.18801410105757926
126,1996,0.08,King's Field II,T,Role-Playing,0.18801410105757926
127,1996,0.08,Super Puzzle Fighter II Turbo,E,Puzzle,0.18801410105757926
128,1996,0.09,FIFA Soccer 97,E,Sports,0.2115158636897768
129,1996,0.09,Reloaded,M,Action,0.2115158636897768
130,1996,0.09,Street Racer,E,Racing,0.2115158636897768
131,1996,0.09,VR Golf '97,E,Sports,0.2115158636897768
132,1996,0.09,Wing Commander III: Heart of the Tiger,T,Action,0.2115158636897768
133,1996,0.1,Bubsy 3D,E,Platform,0.2350176263219742
134,1996,0.1,College Slam,E,Sports,0.2350176263219742
135,1996,0.1,Cool Boarders,E,Sports,0.2350176263219742
136,1996,0.1,Time Commando,T,Action,0.2350176263219742
137,1996,0.11,Allied General,E,Strategy,0.2585193889541716
138,1996,0.11,Beyond The Beyond,E,Role-Playing,0.2585193889541716
139,1996,0.11,Bust-A-Move 2 Arcade Edition,E,Puzzle,0.2585193889541716
140,1996,0.11,Descent,T,Shooter,0.2585193889541716
141,1996,0.11,Warhammer: Shadow of the Horned Rat,E,Strategy,0.2585193889541716
142,1996,0.12,NBA Jam Extreme,E,Sports,0.2820211515863689
143,1996,0.12,NFL Quarterback Club 97,E,Sports,0.2820211515863689
144,1996,0.12,Pandemonium!,E,Platform,0.2820211515863689
145,1996,0.12,Tobal No.1,T,Fighting,0.2820211515863689
146,1996,0.13,Perfect Weapon,T,Action,0.3055229142185664
147,1996,0.14,Panzer General,E,Strategy,0.32902467685076386
148,1996,0.14,Project Overkill,M,Shooter,0.32902467685076386
149,1996,0.14,Street Fighter Alpha 2,T,Fighting,0.32902467685076386
150,1996,0.14,WipEout XL,E,Racing,0.32902467685076386
151,1996,0.15,Battle Arena Toshinden 2,T,Fighting,0.35252643948296125
152,1996,0.15,Gunship,E,Simulation,0.35252643948296125
153,1996,0.16,MLB Pennant Race,E,Sports,0.3760282021151585
154,1996,0.16,NBA Live 96,E,Sports,0.3760282021151585
155,1996,0.16,PGA Tour 97,E,Sports,0.3760282021151585
156,1996,0.17,Alone in the Dark: One-Eyed Jack's Revenge,T,Adventure,0.3995299647473561
157,1996,0.17,NBA ShootOut,E,Sports,0.3995299647473561
158,1996,0.17,Ridge Racer Revolution,E,Racing,0.3995299647473561
159,1996,0.18,Extreme Pinball,E,Misc,0.4230317273795535
160,1996,0.18,Formula 1,E,Racing,0.4230317273795535
161,1996,0.19,Fade to Black,T,Action,0.44653349001175097
162,1996,0.21,Suikoden,E,Role-Playing,0.4935370152761458
163,1996,0.21,Triple Play 97,E,Sports,0.4935370152761458
164,1996,0.23,NASCAR Racing,E,Racing,0.5405405405405406
165,1996,0.23,Pro Pinball,E,Misc,0.5405405405405406
166,1996,0.25,Blood Omen: Legacy of Kain,M,Role-Playing,0.5875440658049355
167,1996,0.26,NHL 97,E,Sports,0.6110458284371328
168,1996,0.26,NHL FaceOff '97,E,Sports,0.6110458284371328
169,1996,0.3,Top Gun: Fire at Will!,E,Misc,0.7050528789659225
170,1996,0.31,Star Wars: Dark Forces,T,Shooter,0.7285546415981199
171,1996,0.34,Virtua Fighter 2,T,Fighting,0.7990599294947122
172,1996,0.35,WWF in Your House,E,Fighting,0.8225616921269094
173,1996,0.37,Contra: Legacy of War,T,Shooter,0.8695652173913043
174,1996,0.4,Area 51,M,Shooter,0.9400705052878968
175,1996,0.43,Andretti Racing,E,Racing,1.010575793184489
176,1996,0.46,Casper,E,Adventure,1.0810810810810811
177,1996,0.47,NFL GameDay,E,Sports,1.1045828437132783
178,1996,0.48,NFL GameDay '97,E,Sports,1.1280846063454757
179,1996,0.49,Star Wars: Rebel Assault II - The Hidden Empire,E,Shooter,1.1515863689776733
180,1996,0.49,Wayne Gretzky's 3D Hockey,E,Sports,1.1515863689776733
181,1996,0.51,Space Jam,E,Sports,1.1985898942420683
182,1996,0.52,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,E,Misc,1.2220916568742657
183,1996,0.55,NBA Live 97,E,Sports,1.2925969447708578
184,1996,0.56,Road & Track Presents: The Need for Speed,E,Racing,1.3160987074030557
185,1996,0.61,Killer Instinct Gold,T,Fighting,1.4336075205640424
186,1996,0.65,Destruction Derby 2,E,Racing,1.5276145710928322
187,1996,0.65,Soviet Strike,T,Simulation,1.5276145710928322
188,1996,0.68,SimCity 2000,E,Simulation,1.5981198589894243
189,1996,0.72,Mortal Kombat Trilogy,M,Fighting,1.692126909518214
190,1996,0.73,Madden NFL 97,E,Sports,1.7156286721504117
191,1996,0.73,TNN Motor Sports Hardcore 4x4,E,Racing,1.7156286721504117
192,1996,0.85,Die Hard Trilogy,M,Shooter,1.9976498237367804
193,1996,0.96,Tomb Raider,T,Action,2.2561692126909514
194,1996,1.15,2Xtreme,E,Sports,2.702702702702702
195,1996,1.33,Jet Moto,E,Racing,3.1257344300822565
196,1996,1.37,Command & Conquer: Red Alert,T,Strategy,3.2197414806110465
197,1996,1.98,Mortal Kombat Trilogy,M,Fighting,4.653349001175089
198,1996,2.1,Tetris Plus,E,Puzzle,4.9353701527614575
199,1996,2.12,Namco Museum Vol.1,E,Misc,4.982373678025851
200,1996,2.12,Twisted Metal 2,T,Racing,4.982373678025851
201,1996,2.26,Tekken 2,T,Fighting,5.311398354876616
202,1996,2.29,Tomb Raider,T,Action,5.381903642773207
203,1996,3.22,Microsoft Flight Simulator,E,Simulation,7.5675675675675675
204,1997,0.01,Age of Empires,T,Strategy,0.017959770114942528
205,1997,0.01,Ballblazer Champions,E,Sports,0.017959770114942528
206,1997,0.01,Bottom of the 9th '97,E,Sports,0.017959770114942528
207,1997,0.01,Bugriders: The Race of Kings,E,Racing,0.017959770114942528
208,1997,0.01,Carnage Heart,E,Strategy,0.017959770114942528
209,1997,0.01,Discworld II: Mortality Bytes!,T,Adventure,0.017959770114942528
210,1997,0.01,Goal Storm '97,E,Sports,0.017959770114942528
211,1997,0.01,Nanotek Warrior,E,Shooter,0.017959770114942528
212,1997,0.01,Poy Poy,E,Action,0.017959770114942528
213,1997,0.01,Tail of the Sun,E,Role-Playing,0.017959770114942528
214,1997,0.01,The Crow: City of Angels,M,Action,0.017959770114942528
215,1997,0.01,War Gods,M,Fighting,0.017959770114942528
216,1997,0.01,Xevious 3D/G+,E,Shooter,0.017959770114942528
217,1997,0.02,BRAHMA Force: The Assault on Beltlogger 9,E,Shooter,0.03591954022988505
