Name,Genre,ESRB_Rating,Platform,Global_Sales,NA_Sales,Year
Bogey: Dead 6,Simulation,E,PS,0.09,0.05,1996
Romance of the Three Kingdoms IV: Wall of Fire,Strategy,E,PS,0.13,0.05,1996
Return Fire,Strategy,E,PS,0.09,0.05,1996
Cyberia,Adventure,T,PS,0.09,0.05,1996
Blades of Blood: Samurai Shodown III,Fighting,T,PS,0.08,0.05,1996
Iron Man / X-O Manowar in Heavy Metal,Platform,T,PS,0.08,0.05,1996
Robotron X,Shooter,T,PS,0.08,0.05,1996
Blast Chamber,Shooter,T,PS,0.1,0.05,1996
Tokyo Highway Battle,Racing,E,PS,0.33,0.06,1996
Olympic Summer Games: Atlanta 1996,Sports,E,PS,0.1,0.06,1996
Tecmo Super Bowl,Sports,E,PS,0.12,0.06,1996
NHL Powerplay '96,Sports,E,PS,0.12,0.06,1996
Revolution X,Shooter,M,PS,0.1,0.06,1996
Burning Road,Racing,E,PS,0.12,0.07,1996
HardBall 5,Sports,E,PS,0.12,0.07,1996
Criticom,Fighting,T,PS,0.12,0.07,1996
Star Gladiator Episode: I Final Crusade,Fighting,T,PS,0.3,0.07,1996
Disruptor,Shooter,T,PS,0.13,0.07,1996
Black Dawn,Simulation,T,PS,0.13,0.07,1996
Blazing Dragons,Adventure,E,PS,0.15,0.08,1996
Super Puzzle Fighter II Turbo,Puzzle,E,PS,0.14,0.08,1996
Frank Thomas Big Hurt Baseball,Sports,E,PS,0.14,0.08,1996
Bottom of the 9th,Sports,E,PS,0.14,0.08,1996
International Track & Field,Sports,E,PS,0.51,0.08,1996
Iron & Blood,Fighting,T,PS,0.14,0.08,1996
King's Field II,Role-Playing,T,PS,0.26,0.08,1996
Street Racer,Racing,E,PS,0.16,0.09,1996
FIFA Soccer 97,Sports,E,PS,0.16,0.09,1996
VR Golf '97,Sports,E,PS,0.17,0.09,1996
Reloaded,Action,M,PS,0.17,0.09,1996
Wing Commander III: Heart of the Tiger,Action,T,PS,0.16,0.09,1996
Bubsy 3D,Platform,E,PS,0.19,0.1,1996
College Slam,Sports,E,PS,0.19,0.1,1996
Cool Boarders,Sports,E,PS,0.43,0.1,1996
Time Commando,Action,T,PS,0.17,0.1,1996
Bust-A-Move 2 Arcade Edition,Puzzle,E,PS,0.2,0.11,1996
Beyond The Beyond,Role-Playing,E,PS,0.57,0.11,1996
Allied General,Strategy,E,PS,0.19,0.11,1996
Warhammer: Shadow of the Horned Rat,Strategy,E,PS,0.19,0.11,1996
Descent,Shooter,T,PS,0.19,0.11,1996
Pandemonium!,Platform,E,PS,0.21,0.12,1996
NFL Quarterback Club 97,Sports,E,PS,0.22,0.12,1996
NBA Jam Extreme,Sports,E,PS,0.22,0.12,1996
Tobal No.1,Fighting,T,PS,0.92,0.12,1996
Perfect Weapon,Action,T,PS,0.23,0.13,1996
WipEout XL,Racing,E,PS,0.25,0.14,1996
Panzer General,Strategy,E,PS,0.24,0.14,1996
Project Overkill,Shooter,M,PS,0.25,0.14,1996
Street Fighter Alpha 2,Fighting,T,PS,0.85,0.14,1996
Gunship,Simulation,E,PS,0.27,0.15,1996
Battle Arena Toshinden 2,Fighting,T,PS,0.71,0.15,1996
NBA Live 96,Sports,E,PS,0.33,0.16,1996
MLB Pennant Race,Sports,E,PS,0.29,0.16,1996
PGA Tour 97,Sports,E,PS,0.29,0.16,1996
Ridge Racer Revolution,Racing,E,PS,1.07,0.17,1996
NBA ShootOut,Sports,E,PS,0.31,0.17,1996
Alone in the Dark: One-Eyed Jack's Revenge,Adventure,T,PS,0.31,0.17,1996
Extreme Pinball,Misc,E,PS,0.32,0.18,1996
Formula 1,Racing,E,PS,0.76,0.18,1996
Fade to Black,Action,T,PS,0.34,0.19,1996
Suikoden,Role-Playing,E,PS,0.6,0.21,1996
Triple Play 97,Sports,E,PS,0.38,0.21,1996
Pro Pinball,Misc,E,PS,0.41,0.23,1996
NASCAR Racing,Racing,E,PS,0.41,0.23,1996
Blood Omen: Legacy of Kain,Role-Playing,M,PS,0.44,0.25,1996
NHL FaceOff '97,Sports,E,PS,0.46,0.26,1996
NHL 97,Sports,E,PS,0.47,0.26,1996
Top Gun: Fire at Will!,Misc,E,PS,0.55,0.3,1996
Star Wars: Dark Forces,Shooter,T,PS,0.55,0.31,1996
Virtua Fighter 2,Fighting,T,SAT,1.93,0.34,1996
WWF in Your House,Fighting,E,PS,0.62,0.35,1996
Contra: Legacy of War,Shooter,T,PS,0.67,0.37,1996
Area 51,Shooter,M,PS,0.72,0.4,1996
Andretti Racing,Racing,E,PS,0.77,0.43,1996
Casper,Adventure,E,PS,0.83,0.46,1996
NFL GameDay,Sports,E,PS,0.85,0.47,1996
NFL GameDay '97,Sports,E,PS,0.87,0.48,1996
Star Wars: Rebel Assault II - The Hidden Empire,Shooter,E,PS,0.88,0.49,1996
Wayne Gretzky's 3D Hockey,Sports,E,N64,0.53,0.49,1996
Space Jam,Sports,E,PS,0.92,0.51,1996
Midway Presents Arcade's Greatest Hits: The Atari Collection 1,Misc,E,PS,0.94,0.52,1996
NBA Live 97,Sports,E,PS,1,0.55,1996
Road & Track Presents: The Need for Speed,Racing,E,PS,1,0.56,1996
Killer Instinct Gold,Fighting,T,N64,0.82,0.61,1996
Destruction Derby 2,Racing,E,PS,1.17,0.65,1996
Soviet Strike,Simulation,T,PS,1.17,0.65,1996
SimCity 2000,Simulation,E,PS,1.22,0.68,1996
Mortal Kombat Trilogy,Fighting,M,N64,0.96,0.72,1996
TNN Motor Sports Hardcore 4x4,Racing,E,PS,1.31,0.73,1996
Madden NFL 97,Sports,E,PS,1.32,0.73,1996
Die Hard Trilogy,Shooter,M,PS,1.54,0.85,1996
Tomb Raider,Action,T,PC,1.03,0.96,1996
2Xtreme,Sports,E,PS,1.4,1.15,1996
Jet Moto,Racing,E,PS,1.83,1.33,1996
Command & Conquer: Red Alert,Strategy,T,PC,2.85,1.37,1996
Mortal Kombat Trilogy,Fighting,M,PS,2.79,1.98,1996
Tetris Plus,Puzzle,E,PS,2.4,2.1,1996
Namco Museum Vol.1,Misc,E,PS,3.84,2.12,1996
Twisted Metal 2,Racing,T,PS,2.44,2.12,1996
Tekken 2,Fighting,T,PS,5.74,2.26,1996
Tomb Raider,Action,T,PS,4.63,2.29,1996
Microsoft Flight Simulator,Simulation,E,PC,5.12,3.22,1996
Poy Poy,Action,E,PS,0.03,0.01,1997
Bugriders: The Race of Kings,Racing,E,PS,0.02,0.01,1997
Tail of the Sun,Role-Playing,E,PS,0.02,0.01,1997
Nanotek Warrior,Shooter,E,PS,0.03,0.01,1997
Xevious 3D/G+,Shooter,E,PS,0.14,0.01,1997
Bottom of the 9th '97,Sports,E,PS,0.02,0.01,1997
Ballblazer Champions,Sports,E,PS,0.02,0.01,1997
Goal Storm '97,Sports,E,PS,0.11,0.01,1997
Carnage Heart,Strategy,E,PS,0.11,0.01,1997
The Crow: City of Angels,Action,M,PS,0.02,0.01,1997
War Gods,Fighting,M,PS,0.03,0.01,1997
Discworld II: Mortality Bytes!,Adventure,T,PS,0.02,0.01,1997
Age of Empires,Strategy,T,PC,0.01,0.01,1997
Herc's Adventures,Adventure,E,PS,0.04,0.02,1997
Namco Museum Vol.5,Misc,E,PS,0.15,0.02,1997
Namco Museum Vol.4,Misc,E,PS,0.2,0.02,1997
Peak Performance,Racing,E,PS,0.03,0.02,1997
Rush Hour,Racing,E,PS,0.03,0.02,1997
BRAHMA Force: The Assault on Beltlogger 9,Shooter,E,PS,0.03,0.02,1997
Darklight Conflict,Simulation,E,PS,0.04,0.02,1997
Grand Slam,Sports,E,PS,0.04,0.02,1997
PowerSlave,Shooter,M,PS,0.03,0.02,1997
Lethal Enforcers I & II,Shooter,M,PS,0.03,0.02,1997
PO'ed,Shooter,M,PS,0.04,0.02,1997
Dragon Ball GT: Final Bout,Fighting,T,PS,0.27,0.02,1997
Crypt Killer,Shooter,T,PS,0.04,0.02,1997
Syndicate Wars,Strategy,T,PS,0.04,0.02,1997
NHL Powerplay 98,Sports,E,PS,0.05,0.03,1997
Wayne Gretzky's 3D Hockey '98,Sports,E,PS,0.05,0.03,1997
NBA Hangtime,Sports,E,PS,0.06,0.03,1997
Broken Helix,Action,M,PS,0.06,0.03,1997
Fantastic Four,Action,E,PS,0.07,0.04,1997
Norse by Norsewest: The Return of the Lost Vikings,Action,E,PS,0.07,0.04,1997
Pandemonium 2,Platform,E,PS,0.07,0.04,1997
Buster Bros. Collection,Puzzle,E,PS,0.07,0.04,1997
Ray Tracers,Racing,E,PS,0.06,0.04,1997
RayStorm,Shooter,E,PS,0.07,0.04,1997
TigerShark,Simulation,E,PS,0.07,0.04,1997
Porsche Challenge,Racing,E,PS,0.09,0.05,1997
Codename Tenka,Shooter,M,PS,0.09,0.05,1997
Shadow Master,Adventure,T,PS,0.1,0.05,1997
Descent Maximum,Shooter,T,PS,0.1,0.05,1997
