Name,Genre,ESRB_Rating,Platform,Global_Sales,NA_Sales,Year
Zatch Bell! Mamodo Battles,Fighting,T,GC,0.06,0.05,2005
Shonen Jump's One Piece: Grand Battle,Fighting,T,GC,0.06,0.05,2005
Psychonauts,Platform,T,PS2,0.09,0.05,2005
Motocross Mania 3,Racing,T,PS2,0.1,0.05,2005
Shining Tears,Role-Playing,T,PS2,0.09,0.05,2005
Wild ARMs: Alter Code F,Role-Playing,T,PS2,0.09,0.05,2005
Metal Slug 4 & 5,Shooter,T,PS2,0.11,0.05,2005
Armored Core: Formula Front Extreme Battle,Simulation,T,PSP,0.05,0.05,2005
Worms Forts: Under Siege,Strategy,T,XB,0.07,0.05,2005
Worms Forts: Under Siege,Strategy,T,PS2,0.11,0.05,2005
Hello Kitty: Roller Rescue,Action,E,GC,0.08,0.06,2005
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,Adventure,E,GBA,0.08,0.06,2005
Wallace & Gromit: Curse of the Were-Rabbit,Adventure,E,PS2,0.12,0.06,2005
Board Game Classics,Misc,E,GBA,0.08,0.06,2005
Midway Arcade Treasures 3,Misc,E,XB,0.08,0.06,2005
Pocket Dogs,Misc,E,GBA,0.08,0.06,2005
Frogger: Helmet Chaos,Platform,E,DS,0.06,0.06,2005
Tokobot,Platform,E,PSP,0.06,0.06,2005
Scooby-Doo! Unmasked,Platform,E,XB,0.08,0.06,2005
2-in-1 Game Pack: Spider-Man & Spider-Man 2,Platform,E,GBA,0.09,0.06,2005
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,Platform,E,PS2,0.13,0.06,2005
Ford vs. Chevy,Racing,E,XB,0.08,0.06,2005
DT Racer,Racing,E,PS2,0.13,0.06,2005
Mega Man Battle Network 5: Double Team DS (US sales),Role-Playing,E,DS,0.06,0.06,2005
The Incredibles: Rise of the Underminer,Action,E10,XB,0.09,0.06,2005
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,Adventure,E10,XB,0.09,0.06,2005
Zathura,Adventure,E10,PS2,0.12,0.06,2005
Romancing SaGa,Role-Playing,E10,PS2,0.58,0.06,2005
NHL 06,Sports,E10,GC,0.08,0.06,2005
Real Time Conflict: Shogun Empires,Strategy,E10,DS,0.07,0.06,2005
Evil Dead: Regeneration,Action,M,XB,0.08,0.06,2005
Cold Fear,Action,M,PS2,0.11,0.06,2005
Grand Theft Auto: The Trilogy,Adventure,M,XB,0.09,0.06,2005
Shin Megami Tensei: Digital Devil Saga,Role-Playing,M,PS2,0.13,0.06,2005
TimeSplitters: Future Perfect,Shooter,M,GC,0.08,0.06,2005
Cold Winter,Shooter,M,PS2,0.11,0.06,2005
Tom Clancy's Splinter Cell: Chaos Theory,Action,T,DS,0.07,0.06,2005
TMNT: Mutant Melee,Fighting,T,GC,0.07,0.06,2005
Taito Legends,Misc,T,PS2,0.11,0.06,2005
Shining Force NEO,Role-Playing,T,PS2,0.11,0.06,2005
Ghost in the Shell: Stand Alone Complex,Role-Playing,T,PSP,0.07,0.06,2005
Makai Kingdom: Chronicles of the Sacred Tome,Role-Playing,T,PS2,0.12,0.06,2005
Tom Clancy's Ghost Recon 2,Shooter,T,GC,0.07,0.06,2005
Airborne Troops: Countdown to D-Day,Shooter,T,PS2,0.12,0.06,2005
Suikoden Tactics,Strategy,T,PS2,0.2,0.06,2005
Robots,Action,E,XB,0.09,0.07,2005
Barbie and the Magic of Pegasus,Action,E,GBA,0.09,0.07,2005
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,Adventure,E,GC,0.09,0.07,2005
World Championship Poker: Deluxe Series,Misc,E,DS,0.08,0.07,2005
Pac-Man World 3,Platform,E,GC,0.09,0.07,2005
Pac-Man World 3,Platform,E,PSP,0.07,0.07,2005
Scooby-Doo! Unmasked,Platform,E,DS,0.09,0.07,2005
Whac-A-Mole,Puzzle,E,DS,0.08,0.07,2005
Ford Mustang: The Legend Lives,Racing,E,XB,0.09,0.07,2005
Ford Racing 3,Racing,E,XB,0.09,0.07,2005
Banjo-Pilot,Racing,E,GBA,0.1,0.07,2005
Monster Trucks DS,Racing,E,DS,0.08,0.07,2005
Enthusia Professional Racing,Racing,E,PS2,0.15,0.07,2005
Digimon World 4,Role-Playing,E,GC,0.09,0.07,2005
World Soccer Winning Eleven 8 International,Sports,E,XB,0.09,0.07,2005
College Hoops 2K6,Sports,E,XB,0.1,0.07,2005
NTRA Breeders' Cup World Thoroughbred Championships,Sports,E,PS2,0.13,0.07,2005
Shrek SuperSlam,Action,E10,XB,0.09,0.07,2005
Ty the Tasmanian Tiger 3: Night of the Quinkan,Action,E10,GC,0.09,0.07,2005
Lost in Blue,Adventure,E10,DS,0.11,0.07,2005
Smart Bomb,Puzzle,E10,PSP,0.08,0.07,2005
Gretzky NHL 06,Sports,E10,PS2,0.14,0.07,2005
Ninja Gaiden Black,Action,M,XB,0.09,0.07,2005
The Suffering: Ties That Bind,Action,M,XB,0.09,0.07,2005
Predator: Concrete Jungle,Action,M,XB,0.1,0.07,2005
Indigo Prophecy,Adventure,M,XB,0.1,0.07,2005
Indigo Prophecy,Adventure,M,PS2,0.15,0.07,2005
187: Ride or Die,Racing,M,PS2,0.15,0.07,2005
Sniper Elite,Shooter,M,XB,0.09,0.07,2005
Playboy: The Mansion,Simulation,M,XB,0.09,0.07,2005
Shonen Jump's One Piece: Grand Battle,Fighting,T,PS2,0.13,0.07,2005
World Championship Poker 2: Featuring Howard Lederer,Misc,T,XB,0.09,0.07,2005
Riviera: The Promised Land,Role-Playing,T,GBA,0.1,0.07,2005
Ys: The Ark of Napishtim,Role-Playing,T,PS2,0.13,0.07,2005
Musashi: Samurai Legend,Role-Playing,T,PS2,0.15,0.07,2005
The Hustle: Detroit Streets,Sports,T,PSP,0.07,0.07,2005
Charlie and the Chocolate Factory,Adventure,E,XB,0.11,0.08,2005
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,Adventure,E,PS2,0.16,0.08,2005
Pac-Man Pinball Advance,Misc,E,GBA,0.11,0.08,2005
Midway Arcade Treasures 3,Misc,E,PS2,0.16,0.08,2005
Pac-Man World 2,Platform,E,GBA,0.11,0.08,2005
Mega Man Zero 4,Platform,E,GBA,0.11,0.08,2005
"Ed, Edd n Eddy: The Mis-Edventures",Platform,E,GBA,0.12,0.08,2005
Frantix,Puzzle,E,PSP,0.08,0.08,2005
Bust-A-Move DS,Puzzle,E,DS,0.11,0.08,2005
GripShift,Racing,E,PSP,0.09,0.08,2005
MX World Tour Featuring Jamie Little,Racing,E,PS2,0.17,0.08,2005
Digimon World 4,Role-Playing,E,PS2,0.15,0.08,2005
FIFA Street,Sports,E,XB,0.1,0.08,2005
Tiger Woods PGA Tour 06,Sports,E,GC,0.11,0.08,2005
World Tour Soccer 2006,Sports,E,PS2,0.17,0.08,2005
Dynasty Warriors Advance,Action,E10,GBA,0.11,0.08,2005
Marvel Nemesis: Rise of the Imperfects,Fighting,E10,DS,0.08,0.08,2005
Pariah,Action,M,XB,0.1,0.08,2005
Tom Clancy's Splinter Cell: Chaos Theory,Action,M,GC,0.1,0.08,2005
Stubbs the Zombie in Rebel Without a Pulse,Action,M,XB,0.11,0.08,2005
Conflict: Global Terror,Shooter,M,XB,0.1,0.08,2005
Dead to Rights II,Shooter,M,XB,0.11,0.08,2005
Phantom Dust,Action,T,XB,0.11,0.08,2005
Spy vs Spy,Action,T,XB,0.11,0.08,2005
Project: Snowblind,Action,T,XB,0.11,0.08,2005
Viewtiful Joe: Double Trouble!,Action,T,DS,0.11,0.08,2005
Sega Casino,Misc,T,DS,0.09,0.08,2005
The Legend of Heroes: A Tear of Vermillion,Role-Playing,T,PSP,0.09,0.08,2005
Atelier Iris: Eternal Mana,Role-Playing,T,PS2,0.15,0.08,2005
Cabela's Outdoor Adventures,Sports,T,XB,0.1,0.08,2005
Cabela's Dangerous Hunts 2,Sports,T,XB,0.11,0.08,2005
Dora the Explorer: Journey to the Purple Planet,Adventure,E,GC,0.12,0.09,2005
Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart,Misc,E,GBA,0.12,0.09,2005
The Bible Game,Misc,E,GBA,0.12,0.09,2005
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,Platform,E,GBA,0.13,0.09,2005
Pac 'n Roll,Platform,E,DS,0.11,0.09,2005
Tak: The Great Juju Challenge,Platform,E,DS,0.09,0.09,2005
Snood 2: On Vacation,Puzzle,E,DS,0.09,0.09,2005
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,Racing,E,GBA,0.12,0.09,2005
Ford Racing 3,Racing,E,DS,0.1,0.09,2005
Harvest Moon: A Wonderful Life Special Edition,Simulation,E,PS2,0.18,0.09,2005
EyeToy: Kinetic,Sports,E,PS2,0.17,0.09,2005
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,Action,E10,GC,0.12,0.09,2005
Ty the Tasmanian Tiger 3: Night of the Quinkan,Action,E10,PS2,0.19,0.09,2005
Crash Tag Team Racing,Racing,E10,XB,0.13,0.09,2005
NHL 2K6,Sports,E10,X360,0.1,0.09,2005
Castlevania: Curse of Darkness,Action,M,XB,0.12,0.09,2005
The Suffering: Ties That Bind,Action,M,PS2,0.17,0.09,2005
Tenchu: Fatal Shadows,Action,M,PS2,0.19,0.09,2005
Rise of the Kasai,Action,M,PS2,0.19,0.09,2005
Mortal Kombat: Deception,Fighting,M,GC,0.11,0.09,2005
Conflict: Global Terror,Shooter,M,PS2,0.19,0.09,2005
Psychonauts,Platform,T,XB,0.12,0.09,2005
American Chopper 2: Full Throttle,Racing,T,PS2,0.18,0.09,2005
Paperboy / Rampage,Misc,E,GBA,0.13,0.1,2005
Shrek 2 and Shark Tale 2-in-1 Pack,Misc,E,GBA,0.14,0.1,2005
Barbie Superpack: Secret Agent / Groovy Games,Misc,E,GBA,0.15,0.1,2005
Sonic Advance & Sonic Pinball Party Combo Pack,Misc,E,GBA,0.15,0.1,2005
ESA Foundation Compilation,Misc,E,PS2,0.19,0.1,2005
The Bible Game,Misc,E,PS2,0.2,0.1,2005
World Poker Tour,Misc,E,PS2,0.21,0.1,2005
Mega Man Anniversary Collection,Platform,E,XB,0.13,0.1,2005
Disney's Cinderella: Magical Dreams,Platform,E,GBA,0.14,0.1,2005
Frogger: Helmet Chaos,Platform,E,PSP,0.11,0.1,2005
Pac-Man World 3,Platform,E,PS2,0.21,0.1,2005
Bomberman,Puzzle,E,DS,0.15,0.1,2005
Zoo Keeper,Puzzle,E,DS,0.17,0.1,2005
Ridge Racer 6,Racing,E,X360,0.2,0.1,2005
ATV: Quad Frenzy,Racing,E,DS,0.11,0.1,2005
FIFA Soccer 06,Sports,E,PSP,0.11,0.1,2005
Gretzky NHL,Sports,E,PSP,0.1,0.1,2005
Backyard NFL Football 2006,Sports,E,PS2,0.2,0.1,2005
World Tour Soccer,Sports,E,PSP,1.07,0.1,2005
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,Action,E10,PS2,0.2,0.1,2005
Disney's Chicken Little,Platform,E10,XB,0.14,0.1,2005
Tim Burton's The Nightmare Before Christmas: The Pumpkin King,Platform,E10,GBA,0.14,0.1,2005
Battles of Prince of Persia,Strategy,E10,DS,0.12,0.1,2005
Spartan: Total Warrior,Action,M,XB,0.13,0.1,2005
Rengoku: The Tower of Purgatory,Action,M,PSP,0.11,0.1,2005
Predator: Concrete Jungle,Action,M,PS2,0.2,0.1,2005
Evil Dead: Regeneration,Action,M,PS2,0.21,0.1,2005
Big Mutha Truckers 2,Racing,M,PS2,0.2,0.1,2005
Sniper Elite,Shooter,M,PS2,0.19,0.1,2005
Dead to Rights II,Shooter,M,PS2,0.2,0.1,2005
Playboy: The Mansion,Simulation,M,PS2,0.2,0.1,2005
Advent Rising,Action,T,XB,0.13,0.1,2005
Project: Snowblind,Action,T,PS2,0.21,0.1,2005
GoldenEye: Rogue Agent,Shooter,T,DS,0.11,0.1,2005
Heroes of the Pacific,Simulation,T,XB,0.13,0.1,2005
Spongebob Squarepants / Fairly Odd Parents Double Pack,Action,E,GBA,0.15,0.11,2005
Power Rangers Double Pack,Action,E,GBA,0.16,0.11,2005
The Fairly Odd Parents: Clash with the Anti-World,Adventure,E,GBA,0.15,0.11,2005
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,Misc,E,DS,0.12,0.11,2005
Super Monkey Ball Deluxe,Misc,E,XB,0.15,0.11,2005
Disney's Kim Possible: Kimmunicator,Platform,E,DS,0.13,0.11,2005
Pac-Man World 3,Platform,E,XB,0.15,0.11,2005
Need for Speed Underground 2,Racing,E,DS,0.13,0.11,2005
Ford vs. Chevy,Racing,E,PS2,0.22,0.11,2005
FIFA 06 Soccer,Sports,E,GC,0.14,0.11,2005
FIFA 06: Road to FIFA World Cup,Sports,E,X360,0.15,0.11,2005
Madden NFL 06,Sports,E,DS,0.12,0.11,2005
FIFA Soccer,Sports,E,PSP,0.12,0.11,2005
Lunar: Dragon Song,Role-Playing,E10,DS,0.12,0.11,2005
SSX On Tour,Sports,E10,XB,0.14,0.11,2005
Spartan: Total Warrior,Action,M,PS2,0.22,0.11,2005
Genji: Dawn of the Samurai,Action,M,PS2,0.23,0.11,2005
Geist,Adventure,M,GC,0.15,0.11,2005
Prince of Persia: The Two Thrones,Adventure,M,GC,0.15,0.11,2005
Kingdom Under Fire: Heroes,Strategy,M,XB,0.15,0.11,2005
The Incredible Hulk: Ultimate Destruction,Action,T,GC,0.15,0.11,2005
Batman Begins,Action,T,GC,0.15,0.11,2005
Dynasty Warriors 5: Xtreme Legends,Action,T,PS2,0.57,0.11,2005
Street Fighter Anniversary Collection,Fighting,T,XB,0.15,0.11,2005
Capcom Classics Collection,Misc,T,XB,0.15,0.11,2005
L.A. Rush,Racing,T,XB,0.14,0.11,2005
Magna Carta: Tears of Blood,Role-Playing,T,PS2,0.22,0.11,2005
Lord of the Rings: Tactics,Strategy,T,PSP,0.13,0.11,2005
Sid Meier's Pirates!,Strategy,T,XB,0.14,0.11,2005
Robots,Action,E,GC,0.16,0.12,2005
Robots,Action,E,DS,0.14,0.12,2005
Mousetrap / Operation / Simon,Misc,E,GBA,0.17,0.12,2005
Hello Kitty: Happy Party Pals,Misc,E,GBA,0.17,0.12,2005
Retro Atari Classics,Misc,E,DS,0.13,0.12,2005
Super Monkey Ball Deluxe,Misc,E,PS2,0.24,0.12,2005
Tak: The Great Juju Challenge,Platform,E,GC,0.15,0.12,2005
Scooby-Doo! Unmasked,Platform,E,GC,0.15,0.12,2005
Tak: The Great Juju Challenge,Platform,E,GBA,0.17,0.12,2005
Scooby-Doo! Unmasked,Platform,E,PS2,0.25,0.12,2005
Dr. Mario / Puzzle League,Puzzle,E,GBA,0.33,0.12,2005
NHRA Championship Drag Racing,Racing,E,PS2,0.24,0.12,2005
Let's Ride: Sunshine Stables,Sports,E,GBA,0.16,0.12,2005
College Hoops 2K6,Sports,E,PS2,0.25,0.12,2005
The Incredibles: Rise of the Underminer,Action,E10,GC,0.16,0.12,2005
Batman Begins,Action,E10,GBA,0.17,0.12,2005
Crash Tag Team Racing,Racing,E10,GC,0.16,0.12,2005
Killer7,Action,M,GC,0.15,0.12,2005
TimeSplitters: Future Perfect,Shooter,M,XB,0.16,0.12,2005
Halo Triple Pack,Shooter,M,XB,0.16,0.12,2005
Dead to Rights: Reckoning,Shooter,M,PSP,0.13,0.12,2005
TimeSplitters: Future Perfect,Shooter,M,PS2,0.24,0.12,2005
Peter Jackson's King Kong: The Official Game of the Movie,Action,T,DS,0.13,0.12,2005
World Championship Poker 2: Featuring Howard Lederer,Misc,T,PSP,0.14,0.12,2005
FlatOut,Racing,T,XB,0.17,0.12,2005
The Game of Life / Yahtzee / Payday,Misc,E,GBA,0.18,0.13,2005
Scooby-Doo! Unmasked,Platform,E,GBA,0.18,0.13,2005
Crash & Spyro Superpack,Platform,E,GBA,0.19,0.13,2005
Polarium,Puzzle,E,DS,0.26,0.13,2005
Ford Racing 3,Racing,E,PS2,0.26,0.13,2005
Teen Titans,Action,E10,GBA,0.17,0.13,2005
Dragon Ball Z: Supersonic Warriors 2,Fighting,E10,DS,0.49,0.13,2005
Namco Museum: 50th Anniversary,Misc,E10,XB,0.18,0.13,2005
The Incredibles: Rise of the Underminer,Platform,E10,DS,0.15,0.13,2005
Shadow The Hedgehog,Platform,E10,XB,0.18,0.13,2005
SSX On Tour,Sports,E10,GC,0.17,0.13,2005
Gretzky NHL 06,Sports,E10,PSP,0.14,0.13,2005
True Crime: New York City,Action,M,GC,0.17,0.13,2005
Shadow of Rome,Action,M,PS2,0.27,0.13,2005
Fight Night Round 2,Fighting,T,GC,0.17,0.13,2005
Darkstalkers Chronicle: The Chaos Tower,Fighting,T,PSP,0.15,0.13,2005
InuYasha: Feudal Combat,Fighting,T,PS2,0.27,0.13,2005
Juiced,Racing,T,XB,0.18,0.13,2005
Fullmetal Alchemist 2: Curse of the Crimson Elixir,Role-Playing,T,PS2,0.27,0.13,2005
Amped 3,Sports,T,X360,0.16,0.13,2005
Spyro: Shadow Legacy,Action,E,DS,0.16,0.14,2005
Charlie and the Chocolate Factory,Adventure,E,GC,0.18,0.14,2005
Namco Museum: 50th Anniversary,Misc,E,GBA,0.2,0.14,2005
Ford Mustang: The Legend Lives,Racing,E,PS2,0.29,0.14,2005
Harvest Moon: More Friends of Mineral Town,Simulation,E,GBA,0.2,0.14,2005
Ultimate Spider-Man,Action,E10,DS,0.15,0.14,2005
Gun,Shooter,M,GC,0.18,0.14,2005
Infected,Shooter,M,PSP,0.15,0.14,2005
NARC,Shooter,M,XB,0.18,0.14,2005
Gauntlet: Seven Sorrows,Role-Playing,T,XB,0.18,0.14,2005
Kingdom of Paradise,Role-Playing,T,PSP,0.15,0.14,2005
Close Combat: First to Fight,Shooter,T,XB,0.18,0.14,2005
Heroes of the Pacific,Simulation,T,PS2,0.29,0.14,2005
Yu-Gi-Oh! Nightmare Troubadour (US sales),Action,E,DS,0.15,0.15,2005
CandyLand / Chutes & Ladders / Memory,Misc,E,GBA,0.2,0.15,2005
Pac-Man World 3,Platform,E,DS,0.17,0.15,2005
Meteos,Puzzle,E,DS,0.23,0.15,2005
Burnout Legends,Racing,E,DS,0.18,0.15,2005
NCAA March Madness 06,Sports,E,XB,0.2,0.15,2005
FIFA Street,Sports,E,PS2,0.31,0.15,2005
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Adventure,E10,DS,0.18,0.15,2005
Neopets: The Darkest Faerie,Adventure,E10,PS2,0.3,0.15,2005
Karaoke Revolution Party,Misc,E10,PS2,0.3,0.15,2005
Jampack Volume 12,Misc,M,PS2,0.31,0.15,2005
Full Spectrum Warrior,Strategy,M,PS2,0.3,0.15,2005
From Russia With Love,Action,T,XB,0.2,0.15,2005
Trace Memory,Adventure,T,DS,0.29,0.15,2005
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Adventure,T,XB,0.2,0.15,2005
Fullmetal Alchemist and the Broken Angel,Role-Playing,T,PS2,0.56,0.15,2005
Danny Phantom: The Ultimate Enemy,Action,E,GBA,0.22,0.16,2005
Bratz: Rock Angelz,Misc,E,GC,0.2,0.16,2005
Pac-Pix,Puzzle,E,DS,0.27,0.16,2005
WarioWare: Twisted!,Puzzle,E,GBA,0.74,0.16,2005
World Soccer Winning Eleven 8 International,Sports,E,PS2,3.85,0.16,2005
Crash Tag Team Racing,Racing,E10,PSP,0.25,0.16,2005
NHL 2K6,Sports,E10,XB,0.21,0.16,2005
Darkwatch,Shooter,M,XB,0.21,0.16,2005
Darkwatch,Shooter,M,PS2,0.32,0.16,2005
Batman Begins,Action,T,XB,0.21,0.16,2005
Peter Jackson's King Kong: The Official Game of the Movie,Action,T,PSP,0.19,0.16,2005
Dragon Ball Z: Sagas,Fighting,T,GC,0.21,0.16,2005
World Championship Poker 2: Featuring Howard Lederer,Misc,T,PS2,0.34,0.16,2005
Charlie and the Chocolate Factory,Adventure,E,PS2,0.35,0.17,2005
DK: King of Swing,Platform,E,GBA,0.24,0.17,2005
Ms. Pac-Man: Maze Madness / Pac-Man World,Puzzle,E,GBA,0.24,0.17,2005
Archer Maclean's Mercury,Puzzle,E,PSP,0.56,0.17,2005
Madden NFL 06,Sports,E,GBA,0.23,0.17,2005
Tony Hawk's American Sk8land,Sports,E,GBA,0.24,0.17,2005
Shrek SuperSlam,Action,E10,DS,0.18,0.17,2005
Shrek Superslam,Action,E10,GC,0.22,0.17,2005
Harry Potter and the Goblet of Fire,Adventure,E10,PSP,0.19,0.17,2005
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,Adventure,E10,PS2,0.34,0.17,2005
Namco Museum: 50th Anniversary,Misc,E10,GC,0.21,0.17,2005
Tom Clancy's Rainbow Six: Lockdown,Shooter,M,PS2,0.35,0.17,2005
From Russia With Love,Action,T,GC,0.22,0.17,2005
The Incredible Hulk: Ultimate Destruction,Action,T,XB,0.23,0.17,2005
Death Jr.,Platform,T,PSP,0.19,0.17,2005
Suikoden IV,Role-Playing,T,PS2,0.66,0.17,2005
Cabela's Outdoor Adventures (2006),Sports,T,PS2,0.35,0.17,2005
Robots,Adventure,E,PS2,0.36,0.18,2005
Sorry! / Aggravation / Scrabble Junior,Misc,E,GBA,0.25,0.18,2005
Tiger Woods PGA Tour 06,Sports,E,PSP,0.2,0.18,2005
The Incredibles: Rise of the Underminer,Action,E10,PS2,0.36,0.18,2005
Harry Potter and the Goblet of Fire,Adventure,E10,XB,0.23,0.18,2005
EyeToy Play 2,Misc,E10,PS2,0.38,0.18,2005
Castlevania: Curse of Darkness,Action,M,PS2,0.42,0.18,2005
Prince of Persia: Revelations,Adventure,M,PSP,0.21,0.18,2005
NARC,Shooter,M,PS2,0.36,0.18,2005
Dynasty Warriors,Action,T,PSP,0.51,0.18,2005
Dragon Ball Z: Sagas,Fighting,T,XB,0.24,0.18,2005
Radiata Stories,Role-Playing,T,PS2,0.65,0.18,2005
Connect Four / Perfection / Trouble,Misc,E,GBA,0.27,0.19,2005
"SpongeBob SquarePants: Lights, Camera, Pants!",Misc,E,XB,0.26,0.19,2005
Bratz: Rock Angelz,Misc,E,PS2,0.38,0.19,2005
"Ed, Edd n Eddy: The Mis-Edventures",Platform,E,GC,0.25,0.19,2005
Need for Speed: Most Wanted,Racing,E,GBA,0.26,0.19,2005
Harvest Moon: Another Wonderful Life,Role-Playing,E,GC,0.24,0.19,2005
Tony Hawk's American Sk8land,Sports,E,DS,0.21,0.19,2005
SSX on Tour,Sports,E,PSP,0.23,0.19,2005
Tiger Woods PGA Tour,Sports,E,PSP,0.21,0.19,2005
World Series of Poker,Misc,E10,XB,0.25,0.19,2005
World Series of Poker,Misc,E10,PSP,0.21,0.19,2005
NHL 06,Sports,E10,XB,0.25,0.19,2005
Resident Evil Outbreak File #2,Action,M,PS2,0.57,0.19,2005
Peter Jackson's King Kong: The Official Game of the Movie,Action,T,GC,0.24,0.19,2005
Fantastic 4,Action,T,GC,0.24,0.19,2005
Oddworld: Stranger's Wrath,Action,T,XB,0.26,0.19,2005
Cabela's Dangerous Hunts 2,Action,T,PS2,0.39,0.19,2005
MediEvil: Resurrection,Adventure,T,PSP,0.82,0.19,2005
The Con,Fighting,T,PSP,0.21,0.19,2005
FlatOut,Racing,T,PS2,0.38,0.19,2005
X-Men Legends II: Rise of Apocalypse,Role-Playing,T,GC,0.25,0.19,2005
Medal of Honor European Assault,Shooter,T,GC,0.25,0.19,2005
America's Army: Rise of a Soldier,Shooter,T,XB,0.25,0.19,2005
The Sims 2,Simulation,T,XB,0.25,0.19,2005
Pinball Hall of Fame: The Gottlieb Collection,Misc,E,PSP,0.23,0.2,2005
NASCAR 06: Total Team Control,Racing,E,XB,0.27,0.2,2005
NBA Street: Showdown,Sports,E,PSP,0.22,0.2,2005
NBA,Sports,E,PSP,0.21,0.2,2005
MVP Baseball,Sports,E,PSP,0.21,0.2,2005
NBA 06,Sports,E,PSP,0.22,0.2,2005
Dragon Ball GT: Transformation,Action,E10,GBA,0.28,0.2,2005
Fantastic 4: Flame On,Action,E10,GBA,0.28,0.2,2005
Harry Potter and the Goblet of Fire,Adventure,E10,DS,0.23,0.2,2005
Fantastic 4,Action,T,XB,0.27,0.2,2005
Peter Jackson's King Kong: The Official Game of the Movie,Action,T,X360,0.26,0.2,2005
Gauntlet: Seven Sorrows,Role-Playing,T,PS2,0.4,0.2,2005
NBA 2K6,Action,E,X360,0.23,0.21,2005
Rayman DS,Platform,E,DS,0.26,0.21,2005
Pokemon Dash,Racing,E,DS,0.77,0.21,2005
Disney's Chicken Little,Platform,E10,GC,0.27,0.21,2005
Madagascar,Platform,E10,XB,0.28,0.21,2005
NHL 2K6,Sports,E10,PS2,0.42,0.21,2005
The Warriors,Action,M,XB,0.28,0.21,2005
True Crime: New York City,Action,M,XB,0.28,0.21,2005
Midway Arcade Treasures: Extended Play,Misc,M,PSP,0.24,0.21,2005
Marvel Nemesis: Rise of the Imperfects,Fighting,T,XB,0.28,0.21,2005
SEGA Classics Collection,Misc,T,PS2,0.43,0.21,2005
Charlie and the Chocolate Factory,Adventure,E,GBA,0.3,0.22,2005
Metroid Prime Pinball,Misc,E,DS,0.26,0.22,2005
Lizzie McGuire 3: Homecoming Havoc,Platform,E,GBA,0.3,0.22,2005
Ultimate Spider-Man,Action,E10,GBA,0.3,0.22,2005
Unreal Championship 2: The Liandri Conflict,Shooter,M,XB,0.28,0.22,2005
Area 51,Shooter,M,XB,0.29,0.22,2005
The Punisher,Shooter,M,XB,0.29,0.22,2005
Area 51,Shooter,M,PS2,0.45,0.22,2005
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Adventure,T,GC,0.28,0.22,2005
Capcom Classics Collection,Misc,T,PS2,0.51,0.22,2005
Delta Force: Black Hawk Down,Shooter,T,PS2,0.46,0.22,2005
SpongeBob SquarePants: Double Pack,Platform,E,GBA,0.32,0.23,2005
NBA Street V3,Sports,E,GC,0.29,0.23,2005
MLB,Sports,E,PSP,0.24,0.23,2005
Mortal Kombat: Shaolin Monks,Action,M,XB,0.31,0.23,2005
Brothers In Arms: Earned In Blood,Action,M,XB,0.31,0.23,2005
The Matrix: Path of Neo,Action,T,XB,0.31,0.23,2005
L.A. Rush,Racing,T,PS2,0.47,0.23,2005
Herbie: Fully Loaded,Racing,E,GBA,0.34,0.24,2005
Need for Speed: Most Wanted,Racing,E,DS,0.27,0.24,2005
Mario Tennis: Power Tour,Sports,E,GBA,0.52,0.24,2005
Shrek SuperSlam,Action,E10,GBA,0.33,0.24,2005
Shrek SuperSlam,Action,E10,PS2,0.5,0.24,2005
Gun,Shooter,M,X360,0.27,0.24,2005
Risk / Battleship / Clue,Misc,E,GBA,0.34,0.25,2005
Yoshi Topsy-Turvy,Platform,E,GBA,0.65,0.25,2005
Madagascar,Platform,E,DS,0.3,0.25,2005
MVP Baseball 2005,Sports,E,GC,0.33,0.25,2005
NBA Live 06,Sports,E,GC,0.33,0.25,2005
Backyard Baseball 2006,Sports,E,GBA,0.35,0.25,2005
Star Wars Episode III: Revenge of the Sith,Action,E10,DS,0.31,0.25,2005
SSX On Tour,Sports,E10,PS2,0.52,0.25,2005
The Punisher,Shooter,M,PS2,0.52,0.25,2005
X-Men Legends II: Rise of Apocalypse,Role-Playing,T,PSP,0.29,0.25,2005
Call of Duty 2: Big Red One,Shooter,T,GC,0.33,0.25,2005
Delta Force: Black Hawk Down,Shooter,T,XB,0.34,0.25,2005
Battalion Wars,Strategy,T,GC,0.4,0.25,2005
We Love Katamari,Puzzle,E,PS2,0.52,0.26,2005
NBA 06,Sports,E,PS2,0.53,0.26,2005
Tom Clancy's Rainbow Six: Lockdown,Shooter,M,XB,0.41,0.26,2005
Ultimate Spider-Man,Action,T,XB,0.39,0.26,2005
