ESRB_Rating,Year,NA_Sales
E,10173702,1300.5199999999725
E10,3162059,378.72999999999973
EC,48177,4.260000000000001
M,3411626,805.4799999999983
RP,30202,1.55
T,6500570,841.8999999999922
