Year,NA_Sales,violent_incidents
2013,114.85000000000001,0.278
2014,115.41000000000004,51.854
2015,98.91,53.579
2016,73.12000000000003,58.763
2017,75.79999999999997,61.402
2018,65.91999999999999,13.802
